Campus	Department Name	Course Number	Course Name	Credits	Areas of Knowledge	Quarters Offered	Offered with	Prerequisites	Co-Requisites	Description
Bothell	BACCT	500	Advanced Quantitative Methods in Accounting	4						Review of the mathematical, statistical and programming methods and techniques used in contemporary business and accounting.  Students develop understanding of foundational concepts and their application to business problems.
Bothell	BACCT	501	Accounting Theory	4						Focuses on the basic market paradigm that governs accounting and accounting institutions. Uses concepts such as agency theory, permanent income, and Hicksian income. Explores issues such as the use of book value and earnings as alternative anchors and the need for disclosure versus accounting.
Bothell	BACCT	502	Seminar on Financial Accounting	4						Introduces the basic wisdom derived from financial accounting research. Starting with the efficient market paradigm, students are exposed to the concept of value relevant information of market participants and the role of accounting information. Case studies/ journal articles examine the current dilemmas/controversies in financial accounting.
Bothell	BACCT	503	Corporate Financial Reporting	4						Combines ideas and tools from economics, statistics, decisions theory, and finance with traditional accounting concepts such as faithful representation to develop a general framework for general purpose financial reporting.
Bothell	BACCT	504	Advanced Managerial Accounting	4						Exposes student to the user's perspective of managerial accounting information, incorporating uncertainty and fully exploiting the interrelationship between cost determination, performance evaluation, and economic decision making. Focuses on the underlying theory of cost allocation as an applied mechanism design and incentive issues arising with cost management/control practices.
Bothell	BACCT	505	Financial Statement Analysis	4				BACCT501;BACCT503		Students analyze actual financial statements with a view to valuing a firm form the valuation fundamentals and comparing their findings to actual market valuations. Stretches students' ability to apply knowledge and skills developed in prior courses to perform challenging real-world tasks. Prerequisite: B ACCT 501; B ACCT 503.
Bothell	BACCT	506	Seminar on Strategic Cost Management	4				BACCT504		Aims to introduce students to how cost information can be used to create and support business strategy and how the existing cost accounting systems need to be adapted for strategic use. Prerequisite: B ACCT 504.
Bothell	BACCT	510	Accounting Profession	0						"Based on participation in accounting-related seminars, workshops, symposia, and field trips. These ""qualifying events"" help students to understanding the demands and nature of the accounting profession; apply accounting theory and principles as needed in professional conversations; and explores the ethical dimensions of professional decision making. Credit/no-credit only."
Bothell	BACCT	512	Advanced Business Law	4						Provides introduction to legal resolutions including courts, alternative dispute resolution, and ethics; creditors' rights bankruptcy; agency and employment; corporations and securities; small businesses and owners limited liabilities; and government regulation of business.
Bothell	BACCT	520	Accounting Valuation	4						Introduces basic theories and practical applications of accounting valuation methods. Students study basic concepts of accounting valuation models, evaluation accounting information to apply methods, analyze, and interpret profitability of a business.
