Campus	Department Name	Course Number	Course Name	Credits	Areas of Knowledge	Quarters Offered	Offered with	Prerequisites	Co-Requisites	Description
Tacoma	TACCT	210	Financial Accounting I: Users Approach to Accounting	5		A				Introduces accounting concepts within the context of financial business decisions. Presents an overview of the role of accounting in the financial community and business operations. Emphasizes the external use of financial accounting for fiscal decision-making. Offered: A.
Tacoma	TACCT	220	Financial Accounting II: The Reporting Process	5		W		TACCT210		Introduces accounting processes that produce financial accounting reports including the balance sheet, income statement and statement of cash flows. Emphasizes how to gather, calculate, and organize accounting information into standardized reports based on the generally accepted accounting principles. Prerequisite: T ACCT 210. Offered: W.
Tacoma	TACCT	230	Managerial Accounting	5		Sp		TACCT220,ACCTG215		Provides an introduction to management accounting concepts in the context of business decisions. Explores management accounting's roles in the decision making process and how managers and other internal uses rely on the information to make better business decisions that benefit an organization. Prerequisite: T ACCT 220 or ACCTG 215. Offered: Sp.
Tacoma	TACCT	301	Intermediate Accounting I	5				TACCT210;TACCT220;&&TACCT230,,ACCTG215&&ACCTG225		Concepts and principles of financial accounting. Analysis of controversies and problems related to the measurement of enterprise income and asset and liability valuation. Prerequisite: either a minimum grade of 2.5 in T ACCT 210; a minimum grade of 2.5 in T ACCT 220; and a mimimum grade of 2.5 in T ACCT 230, or a minimum grade of 2.5 in ACCTG 215 and a minimum grade of 2.5 in ACCTG 225.
Tacoma	TACCT	302	Intermediate Accounting II	5				TACCT301		Continuation of 301. Concepts and principles of financial accounting. Analysis of controversies and problems related to the measurement of enterprise income and asset and liability valuation. Prerequisite: a minimum grade of 1.7 in T ACCT 301.
Tacoma	TACCT	303	Intermediate Accounting III	5				TACCT302		Continuation of 302. Concepts and principles of financial accounting. Analysis of controversies and problems related to the measurement of enterprise income and asset and liability valuation. Prerequisite: a minimum grade of 1.7 in T ACCT 302.
Tacoma	TACCT	311	Cost Accounting	5				TACCT301		Focuses on the development and use of cost data for external reporting and internal planning. Students examine cost accounting theory and procedures involving cost determination, analysis, and control through the application of such skills as allocations, budgeting, job order and process costing, and quantification of various business processes. Prerequisite: a minimum grade of 1.7 in T ACCT 301.
Tacoma	TACCT	330	Introduction to Accounting Information Systems	5				TACCT301		Presents an introduction to accounting information systems in organizations. Examines key accounting elements tied to underlying business processes. Examines issues of maintaining the integrity of accounting information systems. Integrates the accounting function with information technology. Introduces the basic structure of database systems. Prerequisite: a minimum grade of 1.7 in T ACCT 301.
Tacoma	TACCT	401	Forensic Accounting	5				TACCT302		Explores the nature, detection and prevention of fraudulent financial reporting. Investigates types of fraud, how fraud is committed, and ways to prevent fraud in corporations. Prerequisite: a minimum grade of 1.7 in T ACCT 302.
Tacoma	TACCT	404	Advanced Financial Accounting	5				TACCT302		Explores accounting and reporting for business combinations (mergers, acquisitions, partnerships and joint ventures
Tacoma	TACCT	411	Auditing Standards and Principles	5				TACCT301		Intensive introduction to the attest function in society today. Analyzes the environment, the process, and the report of the public auditor. Examines potential extensions of the attest function. Prerequisite: a minimum grade of 1.7  in T ACCT 301.
Tacoma	TACCT	431	Financial Statement Analysis	5				TBUS350		Enhances the understanding of accounting principles and techniques used to prepare financial statements, and methods an analyst might employ to increase the relevance of financial information. Demonstrates the use of financial statement data in the valuation of firms. Prerequisite: T BUS 350.
Tacoma	TACCT	451	Individual Income Taxation	5				TACCT301		Covers US Federal income taxation for individuals, including compliance requirements and the role of taxation in personal decisions. Topics include: wage, business and investment income; personal and personal business deductions; and property transactions. Prerequisite: minimum grade of 1.7 in T ACCT 301.
Tacoma	TACCT	453	Advanced Taxation	5				TACCT451		Examines US Federal income taxation of business entities, including corporations, partnerships and subchapter S corporations. Topics include: the tax effects of entity formation, distribution of profits, and entity dissolution; and related impact on individual taxpayers. Prerequisite: a minimum grade of 1.7 in T ACCT 451.
Tacoma	TACCT	468	Cooperative Field Experience	1				TACCT301		Provides opportunities to gain experience and apply concepts taught in the accounting concentration. Involves learning skills and applying knowledge through practical experience working cooperatively with professionals in the field. Requires application and completed employer contract with faculty permission. Prerequisite: a minimum grade of 1.7 in T ACCT 301.
Tacoma	TACCT	469	Undergraduate Research in Accounting	1				TACCT302		Provides students opportunity to explore a specific accounting topic, idea, project, or research interest that extends previous knowledge and broadens experience. Proposals and course criteria are developed in cooperation with specific faculty members prior to course registration. Prerequisite: a minimum grade of 1.7 in T ACCT 302.
Tacoma	TACCT	471	Internal Auditing	3				TACCT411		Independent appraisal function established within an organization. Role and nature of internal auditing; intensive review of internal control; management effectiveness audits; and financial audits from the point of view of the internal auditor. Prerequisite: a minimum grade of 1.7 in T ACCT 411.
Tacoma	TACCT	480	Accounting for Not-for-Profit Organizations	5				TACCT303		Explores the unique accounting models used in reporting the financial results of governmental and not-for-profit entities. Examines financial reporting under these models from the user perspective, while cultivating an understanding of the accounting system requirements needed to meet this perspective. Prerequisite: minimum grade of 1.7 T ACCT 303.
Tacoma	TACCT	485	International Accounting	5						Enhances understanding of international accounting issues. Examines the impacts of accounting diversity on global capital flows, and explores the convergence of global accounting standards. Covers accounting for changing prices, goodwill and other intangibles, as well as social and environmental rep0rting, geographic segment disclosure practices, and financial reporting in developing economics.
Tacoma	TACCT	490	Special Topics in Accounting	1						
Tacoma	TACCT	500	Advanced Topics in Financial Accounting	4						Investigates advanced accounting issues related to business combinations, foreign currency transactions, financial derivatives, segment and interim reporting, intercompany transactions, SEC regulation and reporting requirements, and revenue recognition. Emphasizes the ability to examine related accounting principles, assess their impact on financial statements, and identify areas of potential misstatements. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	501	Financial Accounting Theory	4						"Examines accounting theory, such as the role of accounting in valuation of securities, performance evaluation, and accounting standards setting. Investigates the scope and limitations of ""generally accepted accounting principles,"" with special emphasis on the objectives of financial reporting. Prerequisite: Masters in Accounting students only."
Tacoma	TACCT	502	Financial Statement Analysis	4						Examines the analytical tools and research techniques necessary to understand and interpret financial statements for the purposes of making economic decisions from a user's perspective. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	503	Intermediate Accounting I	5						Concepts and principles of financial accounting. Analysis of controversies and problems related to the measurement of enterprise income and asset and liability valuation.
Tacoma	TACCT	504	Intermediate Accounting II	5				ATACCT503		Concepts and principles of financial accounting. Analysis of controversies and problems related to the measurement of enterprise income and asset and liability valuation. Prerequisite: A minimum grade of 2.7 in T ACCT 503
Tacoma	TACCT	505	Intermediate Accounting III	5				ATACCT504		Concepts and principles of financial accounting. Analysis of controversies and problems related to the measurement of enterprise income and asset and liability valuation. Prerequisite: A minimum grade of 2.7 in T ACCT 504.
Tacoma	TACCT	506	Cost Accounting	5				ATACCT503		Focuses on the development and use of cost data for external reporting and internal planning. Students examine cost accounting theory and procedures involving cost determination, analysis, and control through the application of such skills as allocations, budgeting, job order and process costing, quantification of various business processes. Prerequisite: A minimum grade of 2.7 in T ACCT 503.
Tacoma	TACCT	507	Auditing Standards and Principles	5				ATACCT503		Intensive introduction to the attest function in society today. Analyzes the environment, the process, and the report of the public auditor. Examines potential extensions of the attest function. Prerequisite: A minimum grade of 2.7 in T ACCT 503
Tacoma	TACCT	508	Individual Income Taxation	5				MTACCT503		Covers US Federal income taxation for individuals, including compliance requirements and the role of taxation in personal decisions. Topics include: wage, business and investment income; personal and personal business deductions; and property transactions. Prerequisite: Minimum grade of 2.7 in T ACCT 503.
Tacoma	TACCT	509	Business Finance	5						Focuses on understanding the sources, uses, costs, and control of funds in business organizations. Key topics include managing cash flow, evaluating the time value of money, capital budgeting, evaluating stocks and bonds, and determining the financing mix. Explores the organizational, ethical, and economic consequences of financial decisions.
Tacoma	TACCT	510	Business Regulation, Research, and Communication	4						Investigates key issues in the current regulatory business environment. Examines statutory and common law precedent of issues. Examines optimization of results to those key issues evaluated. Emphasizes the development of advanced communication skills pertaining to research regarding regulator issues. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	511	Planning, Control, and Performance Evaluation	4						Investigates the use of cost accounting information and techniques to support decision-makers as they develop, implement, evaluate, and modify organizational strategy. Examines and evaluates quantitative models and behavioral aspects regarding the use of cost information in decision making. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	513	Managerial Accounting for Decision Making and Control	4				TBUS503		Introduces the concepts, theories, and practices managers use for decision making and cost control. Discusses the principles and methods of accounting used in reporting information to management that is needed within an organization and how this information can be used by managers to plan, control, and make decisions. Prerequisite: T BUS 503.
Tacoma	TACCT	520	International Accounting Seminar	4				TBUS503		Enhances understanding of international accounting issues. Examines the impacts of accounting diversity on global capital flows, and explores the convergence of global accounting standards. Covers accounting for changing prices, goodwill and other intangibles, as well as social and environmental reporting, geographic segment disclosure practices, and financial reporting in emerging markets. Prerequisite: T BUS 503.
Tacoma	TACCT	521	International Accounting	4						Examines the causes and effects of global accounting diversity. Investigates issues related to the preparation and use of financial reports across borders. Investigates selected financial reporting and disclosure issues including social responsibility reporting. Emphasizes the nature and importance of emerging capital markets, and managerial accounting issues related to global business. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	525	Forensic Accounting Seminar	4						Explores the nature, detection and prevention of fraudulent financial reporting. Investigates types of fraud, how fraud is committed, and ways to prevent fraud in corporations.
Tacoma	TACCT	531	Financial Statement Analysis	4				TBUS503		Provides analytical tools and research techniques necessary to understand and interpret financial statements. Prerequisite: T BUS 503.
Tacoma	TACCT	535	Taxation of Business Entities	4						Investigates the effects of income taxes on business strategy. Examine the interaction of income tax considerations with non-tax considerations in business decision-making. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	536	Tax Research and Communications	4						Examines issues in conducting tax research. Investigates aspects of the research process, including how to find, read, and evaluate primary and secondary sources of tax law. Emphasizes development of advanced communication skills relating to the expression of research findings in taxation. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	540	Advanced Auditing	4						Examines key issues regarding generally accepted auditing standards, the role of the auditor, professional conduct and ethics, reporting responsibilities, risk assessment, internal control, evidential matter, management fraud, forensic accounting, and auditing of social reports. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	550	Governmental and Not-for-Profit Accounting	4						Investigates accounting issues for state and local governments, public and private colleges and universities, hospital and health care providers, and other not-for-profit organizations. Examines characteristics that distinguish governmental and not-for-profit entities from for-profit entities. Investigates fund structure and financial reporting issues for various kinds of not-for-profit institutions. Prerequisite: Masters in Accounting students only.
Tacoma	TACCT	590	Special Topics in Accounting	1						Advanced special topic offerings designed to respond to faculty and student interests and needs.
Tacoma	TACCT	600	Independent Study or Research	1						Provides an opportunity to work independently exploring specific accounting topics in greater depth. Credit/no-credit only.
Tacoma	TACCT	601	Internship	4						Provides students with practical knowledge and experience in an accounting environment. Permits students to develop their own strategic plan under faculty guidance. Permits student to preform field work utilizing the skills developed in classroom. Culminates with a research paper expanding on previously developed accounting knowledge. Prerequisite: Masters in Accounting students only.
Tacoma	TBGEN	111	Freshman Leadership Seminar	2						Introduces student to the core competencies of communication, teamwork, and ethics. Emphasizes service learning and experiential application of concepts through leadership projects. Promotes cohort identity and socialization for incoming freshman in the Milgard School of Business Freshman Direct Program.
Tacoma	TBGEN	200	Introduction to Statistics in Business	5	NW, QSR			TMATH098,35		Introduces the major principles and practices utilized in basic statistical analysis. Focuses on descriptive statistics, inferential statistics, probabilistic reasoning, correlation, regression, and hypothesis testing. Prerequisite: either TMATH 098 or minimum score of 35 on ACC-CL placement test.
Tacoma	TBGEN	210	Computer-Based Business Problem Solving	5						Explores uses of Excel to analyze and solve business problems through manipulation and analysis of data. Reviews pivot tables, what-if analysis, solver, and Excel-based management analyses, such as optimization, data mining, customer analysis, data organization, and presentation.
Tacoma	TBGEN	212	Introduction to Corporate Responsibility	5	I&S					Introduces the tools used in the business world today to engage in socially responsible business practice. Provides a framework for integrating corporate responsibility practice into the overall strategy of an organization, and explores current trends in corporate responsibility.
Tacoma	TBGEN	218	Introduction to Business Law	5	I&S					Explores the impact of the changing legal environment on business decision making. Examines legal issues that organizations confront to establish appropriate strategies for effective functioning and developing compliance guidelines. Utilized specific tools to access legal resources for proactively recognizing, framing and analyzing business opportunities, and problems in the legal environment.
Tacoma	TBGEN	250	Personal Finance	5	QSR			TMATH098,35,250		Provides an understanding for making informed personal financial decisions on consumption, savings, budgets, investments, insurance, retirement, wealth creation and estate planning. Effective personal financial management is essential to meet lifetime financial goals. Students will identify their personal financial goals, and make financial decisions that will help them achieve those goals. Prerequisite: either TMATH 098, or a minimum score of 35 on ACC-CL placement test or a minimum score of 250 on the ACCQAS.
Tacoma	TBGEN	312	Communicating Corporate Responsibility	5	I&S					Provides the theory and skills to analyze and assess the corporate responsibility communication issues in a company, and create a strategic corporate communications plan based on that assessment. Develops the understanding of corporate responsibility stories and storytelling in a compelling way that engages and informs stakeholders.
Tacoma	TBGEN	322	Measuring Corporate Responsibility	5	I&S					Provides the framework and skills to analyze and assess the environmental, social, and governance metrics and measurements in a firm. Develops the skills to evaluate those metrics and create a meaningful corporate social responsibility (CSR
Tacoma	TBGEN	422	Corporate responsibility Capstone	3	I&S					Culminating experience for the corporate Responsibility Minor, and challenges students to think critically about the issues of corporate responsibility and put your skills to the test through experiential learning and teamwork.
Tacoma	TBGEN	468	International Business Field Experience	4	I&S					Immerses students in international business experiences that are part of a Study Abroad program. Content varies and is individually evaluated.
Tacoma	TBGEN	490	Special Topics	1						
Tacoma	TBUS	101	Introduction to Business	5	I&S					 I&S
Tacoma	TBUS	102	Business and Society	5	I&S					Facilitates a better understanding of the complex relationship between private enterprise and society at large; how business influences society and is influenced by society. Focuses on the obligations business has to its nonmarket stakeholders.
Tacoma	TBUS	300	Managing Organizations	5	I&S			TCORE101,TWRT112,TWRT121,TWRT211,TWRT291,TWRT331,TWRT431,ENGL111,ENGL121,ENGL131,ENGL141,ENGL182,ENGL197,ENGL198,ENGL199,BWRIT134,BWRIT135		Examines the profession of management and nature of organizations. Focuses on the key managerial functions and organizational processes needed to plan, organize, lead and control contemporary organizations. Activities provide opportunities to improve communication, strategic planning, teamwork, social responsibility, ethical decision making, and professional capacities. Prerequisite: either T CORE 101, TWRT 112, TWRT 121, TWRT 211, TWRT 291, TWRT 331, TWRT 431, ENGL 111, ENGL 121, ENGL 131, ENGL 141, ENGL 182, ENGL 197, ENGL 198, ENGL 199, B WRIT 134, or B WRIT 135
Tacoma	TBUS	301	Quantitative Analysis for Business	5	NW, QSR			STAT290,TMATH110,TBGEN200,QMETH201,STAT220,STAT311		Provides statistical tools to analyze business problems and enhance decision-making. Utilizes an applied approach to organize, explore, and analyze data, design experiments, and surveys, understand estimations and significance tests, and use quantitative methods. Prerequisite: either STAT 290, or a minimum grade of 2.0 in either TMATH 110, T BGEN 200, QMETH 201, STAT 220, or STAT 311.
Tacoma	TBUS	310	Effective Managerial Communications	5	VLPA/I&S			TCORE101,TWRT112,TWRT121,TWRT211,TWRT291,TWRT331,TWRT431,ENGL111,ENGL121,ENGL131,ENGL141,ENGL182,ENGL197,ENGL198,ENGL199,BWRIT134,BWRIT135		Focuses on oral and written communication skills in an organizational environment. Provides opportunities to communicate clearly and concisely in writing, make persuasive presentations, negotiate effectively, listen to the ideas and opinions of others, provide and receive constructive feedback, explore new communication technologies, and understand the impact that globalization has on organizational communication. Prerequisite: either T CORE 101, TWRT 112, TWRT 121, TWRT 211, TWRT 291, TWRT 331, TWRT 431, ENGL 111, ENGL 121, ENGL 131, ENGL 141, ENGL 182, ENGL 197, ENGL 198, ENGL 199, B WRIT 134, or B WRIT 135
Tacoma	TBUS	320	Introduction to Marketing Management	5	I&S			TCORE101,TWRT112,TWRT121,TWRT211,TWRT291,TWRT331,TWRT431,ENGL111,ENGL121,ENGL131,ENGL141,ENGL182,ENGL197,ENGL198,ENGL199,BWRIT134,BWRIT135		Introduces the major principles and practices that are used by marketing managers in analyzing marketing problems and developing appropriate solutions. Examines how marketing operates within the global, social, and economic environment. Prerequisite: either T CORE 101, TWRT 112, TWRT 121, TWRT 211, TWRT 291, TWRT 331, TWRT 431,ENGL 111, ENGL 121, ENGL 131, ENGL 141, ENGL 182, ENGL 197, ENGL 198, ENGL 199, B WRIT 134, or B WRIT 135.
Tacoma	TBUS	330	Introduction to Information Technology	5				TCORE101,TWRT112,TWRT121,TWRT211,TWRT291,TWRT331,TWRT431,ENGL111,ENGL121,ENGL131,ENGL141,ENGL182,ENGL197,ENGL198,ENGL199,BWRIT134,BWRIT135		Introduces techniques that managers use to locate, organize, distribute, and use information for decision making and strategic advantage. Addresses tools for managing information, including computer hardware, software, telecommunication networks, and various information system components. Includes a computer laboratory component in which students address organizational and managerial information requirements. Prerequisite: either T CORE 101, TWRT 112, TWRT 121, TWRT 211, TWRT 291, TWRT 331, TWRT 431, ENGL 111, ENGL 121, ENGL 131, ENGL 141, ENGL 182, ENGL 197, ENGL 198, ENGL 199, B WRIT 134, or B WRIT 135.
Tacoma	TBUS	350	Business Finance	5				TBUS301,TMATH124,MATH112,MATH124		Focuses on understanding the sources, uses, costs, and control of funds in business organizations. Key topics include managing cash flow, evaluating the time value of money, capital budgeting, evaluating stocks and bonds, and determining the financing mix. Explores the organizational, ethical, and economic consequences of financial decisions. Prerequisite: minimum grade of 1.7 in T BUS 301, or minimum grade of 2.0 in either TMATH 124, MATH 112, or MATH 124
Tacoma	TBUS	400	Business Policy and Strategic Management	5				MTBUS300;TBUS301;TBUS310;TBUS320;TBUS350,TACCT330,TACCT330TBUS400		Examines policy making and the role of strategy in the general management of a business organization. Students will learn strategy formulation, implementation, and application in complex situations. Prerequisite: Minimum grade of 1.7 in T BUS 300; T BUS 301; T BUS 310; T BUS 320; and T BUS 350. T BUS 330, or T ACCT 330 may be taken concurrently with T BUS 400.
Tacoma	TBUS	468	Internship	3				ATBUS300,TBUS301,TBUS310,TBUS320,TBUS330,TBUS350,TACCT330,TACCT330.C		Provides opportunity to gain experience in a business organization to apply and experience concepts taught in the traditional classroom. Develops links between the community and the classroom. Prerequisite: Any three of T BUS 300, T BUS 301, T BUS 310, T BUS 320, T BUS 330, T BUS 350, or T ACCT 330. Credit/no-credit only.
Tacoma	TBUS	469	Undergraduate Research	1						Provides opportunity to explore a specific management or marketing topic, idea, project, or research interest that extends previous knowledge and broadens experience. Proposals and course criteria are developed in cooperation with specific faculty members prior to course registration.
Tacoma	TBUS	490	Special Topics	1						
Tacoma	TBUS	500	Quantitative Methods in Business	4						Examines statistical concepts including probability and probability distributions. Develops an understanding of sampling and estimation procedures, hypothesis testing, and inference. Topics include correlation and regression analysis, and analysis of time series.
Tacoma	TBUS	501	Financial Theory	4						Examines financial theory including asset valuation, capital markets, and the basic terminology of corporate finance. Focuses on time value of money, equity valuation, cost of capital, and basics of risk management as essential tools.
Tacoma	TBUS	503	Financial Reporting and Analysis	4						Focuses on the process by which firms report economic information to users outside the firm (e.g., stockholders, potential investors, creditors, regulatory agencies
Tacoma	TBUS	504	Marketing Management	4						Explores the processes by which organizations create value for customers. Focuses on marketing decision making, including opportunity analysis, positioning strategies, product development/management, distribution channels, pricing tactics, and integrated marketing communications. Enables students to engage in target market selection and marketing program design.
Tacoma	TBUS	506	Strategic Management	4						Focuses on the strategy development process in organizations and on how to create sustainable competitive advantage. Examines the strategic position of organizations, strategic choices for the future, and how one can best translate strategies into action.
Tacoma	TBUS	507	Individual and Team Dynamics	4						Examines individual and group dynamics in business organizations to enhance understanding of key issues associated with managing people. Focuses on practice and conceptual training to hone skills in problem definition and problem solving; analysis of organizational dynamics; and managerial action that enhances individual, group, and organizational performance.
Tacoma	TBUS	508	Integrated Systems	4						Integrates material learned in the MBA core through immersion in systems theory. Learn to view organizations as open systems and evaluate consequences of business decisions. Uses online simulation to demonstrate the interplay of various subsystems in organizations while competitive forces create an environment of ongoing change.
Tacoma	TBUS	512	Introduction to Health Policy	4		S				Examines selected topics from literature to identify the structure of healthcare systems; need and access to care; availability and organization of health resources; and quality assessment and improvement. Identifies contemporary policy issues as case studies; and examines the strengths and weaknesses of healthcare system. Offered: S.
Tacoma	TBUS	520	Microeconomics for Managers	4						Examines ways to apply tools of intermediate microeconomic theory to issues of interest to managers. Topics include market processes, consumer theory, firm behavior in competitive and imperfectly competitive markets, product pricing, and strategic behavior.
Tacoma	TBUS	530	Operations Management in Action	4		W				Examines essential topics in operations management, including operations strategy and planning; process and service design; supply chain and inventory management; quality management and statistical quality control; and forecasting and scheduling. Emphasizes concepts and skills essential for operations management in manufacturing and service firms from a strategic, operational, and analytic perspective. Offered: W.
Tacoma	TBUS	569	Analytical Research	2				POI		Provides an opportunity to work independently exploring specific business topics in greater depth. The students must develop a research proposal and make arrangements with a faculty member to supervise the project prior to course registration. Prerequisite: Tacoma MBA student and permission of instructor.
Tacoma	TBUS	570	Organization Change	4						Provides a multiple perspectives approach to managing change. Examines competing perspectives on change stemming from both change management approaches and organizational development approaches. Considers various change methodologies, and explores examples of best practice in change management. Experiential approach encourages the development of skills in change management.
Tacoma	TBUS	590	Special Topics in Business	1						Advanced offerings designed to respond to faculty and student interests and needs.
Tacoma	TBANLT	411	Data Management	5						Focuses on the skills and knowledge necessary to acquire, model, store, transform, manage and represent data, and how to convert that data to information for desired outcomes in context of small and big data. Recommended: proficiency in Excel/spreadsheets.
Tacoma	TBANLT	433	Programming for Data Analytics	5						Provides an introduction to R programming and Python for addressing business analytics problems. Fundamentals of R and Python, data structures and their operators are covered.  Use of packages and libraries for analytics, visualization, and data structure manipulation is emphasized. Business and predictive analytics topics will be introduced with programming solutions. Recommended: proficiency in Excel/spreadsheets.
Tacoma	TBANLT	450	Decision Modeling	5				TMATH110,TBGEN200,QMETH201,STAT220,STAT221,CS&SS221,SOC221,STAT311		Introduces the development, implementation, and utilization of business models for managerial decision making.  It covers formulation of models and interpretation of the information a model produces.  Some of the deterministic optimization techniques (e.g. linear/nonlinear models
Tacoma	TBANLT	460	Predictive Analytics	5				TMATH110,TBGEN200,QMETH201,STAT220,STAT221,CS&SS221,SOC221,STAT311,TBUS301		Covers popular methods in predictive analytics including association rules, classification, regression trees, logistic regression and introduces cutting edge interactive data-visualization tools and data reduction techniques. Prerequisite: either TMATH 110, T BGEN 200, QMETH 201, STAT 220, STAT 221/CS&SS 221/SOC 221, STAT 311, or T BUS 301.
Tacoma	TBANLT	480	Social Media Management and Analytics	5						Focuses on the primary concepts, methods, tools and solutions to develop a social media strategy, and to collect, process and transform social media data into information processes, knowledge, actionable decisions and processes. Covers how organizations make use of social media as a strategy to gain a competitive advantage. Recommended: proficiency in Excel/spreadsheets.
Tacoma	TBANLT	485	Business Intelligence	5						Focuses on foundations of data and analytics. Explains concepts by examining innovative uses of information systems, data, and analytics to support managerial decision-making. Explores how to collect, store, manage, and convert data into information, knowledge, and actionable insights. Recommended: proficiency in Excel/spreadsheets; and either TBANLT 411, or familiarity with data and database management concepts.
Tacoma	TBANLT	510	Business Analytics	4						Focuses on foundations of data and analytics-driven decision making. Explains the concepts with innovative uses of information systems, data, information, knowledge and analytics to support managerial decision-making. Explores how to collect, store, manage and convert data to information, knowledge and actionable insights.
Tacoma	TBANLT	520	Analytics Strategy and Big Data Management	4						Focuses on how organizations need to make analytics part of their organizational strategy, and how they can implement analytics projects successfully by following sound project management principles. It focuses on strategy definition, initiating, planning, executing, controlling and completing analytics projects in a variety of environments for sustainable competitive advantage.
Tacoma	TBANLT	530	Business Process and Workflow Analysis	4						Focuses on how organizations can evaluate, design and implement sound business process management practices, and integrate analytics into their business processes and workflows for maximum performance.
Tacoma	TBANLT	540	Applied Regression Models	4						Focuses on statistical foundations of decision making processes. Topics may include multiple linear regression, models for quantitative and qualitative predictors, building regression models, autocorrelation, non-linear regression, piecewise linear regression, inverse prediction, weighted least squares, ridge regression, robust regression and non-parametric regression.
Tacoma	TBANLT	550	Analytical Decision Making	4						Focuses on the skills and knowledge necessary for mastery of the use of quantitative modeling tools and techniques to support decision analysis. Some of the deterministic optimization techniques (e.g. linear, nonlinear, integer optimization, network models
Tacoma	TBANLT	560	Data Mining	4						Focuses on some of the primary data mining topics (descriptive, predictive and prescriptive
Tacoma	TBANLT	570	Text Mining	4						Focuses on some of the primary mining techniques for analyzing text data. These will be used to discover interesting patterns, extract useful knowledge, and support decision making. Topics like natural language processing, document representation, text categorization, text clustering and topic modeling will be covered.
